Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S49010383,Canada Goose,Branta canadensis,297,14,CA-ON,Hamilton,L1064091,Hamilton--Bayfront Park,43.2707062,-79.8718071,2018-10-06,06:00 PM,eBird - Traveling Count,60,1,1.6,,2
S54685464,Canada Goose,Branta canadensis,297,20,CA-ON,Hamilton,L1064091,Hamilton--Bayfront Park,43.2707062,-79.8718071,2019-04-07,01:00 PM,eBird - Traveling Count,40,1,1.2,,2
S56555446,Canada Goose,Branta canadensis,297,10,CA-ON,Hamilton,L1064091,Hamilton--Bayfront Park,43.2707062,-79.8718071,2019-05-19,06:15 PM,eBird - Traveling Count,60,1,2.,,2
S67524776,Canada Goose,Branta canadensis,297,10,CA-ON,Hamilton,L1064091,Hamilton--Bayfront Park,43.2707062,-79.8718071,2020-04-19,04:40 PM,eBird - Traveling Count,40,1,1.609,,2
S68434756,Canada Goose,Branta canadensis,297,18,CA-ON,Hamilton,L1064091,Hamilton--Bayfront Park,43.2707062,-79.8718071,2020-05-04,06:00 PM,eBird - Traveling Count,40,1,1.287,,2
S45353517,Canada Goose,Branta canadensis,297,2,CA-ON,Hamilton,L2070809,Hamilton--Gage Park,43.2422016,-79.8284626,2018-05-06,07:10 AM,eBird - Traveling Count,60,1,1.2,,1
S44792138,Canada Goose,Branta canadensis,297,X,CA-ON,Hamilton,L2068815,Hamilton--Royal Botanical Gardens (Arboretum),43.284313,-79.9041653,2018-04-21,10:30 AM,eBird - Traveling Count,150,0,6.5,,2
S48850885,Canada Goose,Branta canadensis,297,30,CA-ON,Hamilton,L2068815,Hamilton--Royal Botanical Gardens (Arboretum),43.284313,-79.9041653,2018-09-30,10:10 AM,eBird - Traveling Count,100,1,2.,,2
S49656848,Canada Goose,Branta canadensis,297,25,CA-ON,Hamilton,L2068815,Hamilton--Royal Botanical Gardens (Arboretum),43.284313,-79.9041653,2018-11-03,12:40 PM,eBird - Traveling Count,140,1,5.,,2
S50522860,Canada Goose,Branta canadensis,297,8,CA-ON,Hamilton,L2068815,Hamilton--Royal Botanical Gardens (Arboretum),43.284313,-79.9041653,2018-12-08,11:00 AM,eBird - Traveling Count,110,1,5.5,,2
S54938610,Canada Goose,Branta canadensis,297,6,CA-ON,Hamilton,L2068815,Hamilton--Royal Botanical Gardens (Arboretum),43.284313,-79.9041653,2019-04-13,10:00 AM,eBird - Traveling Count,120,1,5.,,2
S56725895,Canada Goose,Branta canadensis,297,2,CA-ON,Hamilton,L2068815,Hamilton--Royal Botanical Gardens (Arboretum),43.284313,-79.9041653,2019-05-25,10:30 AM,eBird - Traveling Count,120,1,5.,,2
S55067750,Canada Goose,Branta canadensis,297,4,CA-ON,Hamilton,L1898467,Hamilton--Royal Botanical Gardens (Caleb's Walk/Ginger Valley/Ravine Road Trails),43.2688761,-79.9070666,2019-04-17,04:40 PM,eBird - Traveling Count,80,1,4.,,1
S55786664,Canada Goose,Branta canadensis,297,8,CA-ON,Hamilton,L1898467,Hamilton--Royal Botanical Gardens (Caleb's Walk/Ginger Valley/Ravine Road Trails),43.2688761,-79.9070666,2019-05-04,07:20 AM,eBird - Traveling Count,130,1,2.414,,4
S55911906,Canada Goose,Branta canadensis,297,2,CA-ON,Hamilton,L1898467,Hamilton--Royal Botanical Gardens (Caleb's Walk/Ginger Valley/Ravine Road Trails),43.2688761,-79.9070666,2019-05-06,09:50 AM,eBird - Traveling Count,100,1,3.,,2
S55994431,Canada Goose,Branta canadensis,297,2,CA-ON,Hamilton,L1898467,Hamilton--Royal Botanical Gardens (Caleb's Walk/Ginger Valley/Ravine Road Trails),43.2688761,-79.9070666,2019-05-07,02:45 PM,eBird - Traveling Count,130,1,3.5,,2
S56555247,Canada Goose,Branta canadensis,297,4,CA-ON,Hamilton,L1898467,Hamilton--Royal Botanical Gardens (Caleb's Walk/Ginger Valley/Ravine Road Trails),43.2688761,-79.9070666,2019-05-20,05:00 PM,eBird - Traveling Count,120,1,5.,,2
S38523604,Canada Goose,Branta canadensis,297,12,CA-ON,Hamilton,L2382053,Hamilton--Royal Botanical Gardens (Marsh Boardwalk),43.2774958,-79.9127725,2017-08-06,05:00 PM,eBird - Traveling Count,120,1,4.5,,2
S45102500,Canada Goose,Branta canadensis,297,4,CA-ON,Hamilton,L1423107,Hamilton--Royal Botanical Gardens (Princess Point),43.2736812,-79.8973833,2018-04-30,09:00 AM,eBird - Traveling Count,45,0,1.5,,1
S44704785,Canada Goose,Branta canadensis,297,X,CA-ON,Hamilton,L3954791,Hamilton--Royal Botanical Gardens (Sassafras Point Trail),43.2733621,-79.9019551,2018-04-18,03:15 PM,eBird - Traveling Count,50,0,3.,,2
S45135469,Canada Goose,Branta canadensis,297,6,CA-ON,Hamilton,L3954791,Hamilton--Royal Botanical Gardens (Sassafras Point Trail),43.2733621,-79.9019551,2018-05-01,07:45 AM,eBird - Traveling Count,45,1,1.4,,1
S45517464,Canada Goose,Branta canadensis,297,4,CA-ON,Hamilton,L3954791,Hamilton--Royal Botanical Gardens (Sassafras Point Trail),43.2733621,-79.9019551,2018-05-10,08:30 AM,eBird - Traveling Count,60,1,2.,,2
S45731065,Canada Goose,Branta canadensis,297,X,CA-ON,Hamilton,L3954791,Hamilton--Royal Botanical Gardens (Sassafras Point Trail),43.2733621,-79.9019551,2018-05-16,08:30 AM,eBird - Traveling Count,80,0,2.,,2
S55613876,Canada Goose,Branta canadensis,297,3,CA-ON,Hamilton,L3954791,Hamilton--Royal Botanical Gardens (Sassafras Point Trail),43.2733621,-79.9019551,2019-04-30,04:45 PM,eBird - Traveling Count,80,1,2.,,2
S67398434,Canada Goose,Branta canadensis,297,2,CA-ON,Hamilton,L3954791,Hamilton--Royal Botanical Gardens (Sassafras Point Trail),43.2733621,-79.9019551,2020-04-11,10:30 AM,eBird - Traveling Count,90,1,2.414,,2
S45170732,Canada Goose,Branta canadensis,297,X,CA-ON,Hamilton,L357321,Hamilton--Royal Botanical Gardens (general location),43.2816731,-79.9144864,2018-05-02,07:15 AM,eBird - Traveling Count,90,0,5.,,1
S45287476,Canada Goose,Branta canadensis,297,X,CA-ON,Hamilton,L357321,Hamilton--Royal Botanical Gardens (general location),43.2816731,-79.9144864,2018-05-05,07:00 AM,eBird - Traveling Count,110,0,5.5,,1
S45628396,Canada Goose,Branta canadensis,297,X,CA-ON,Hamilton,L357321,Hamilton--Royal Botanical Gardens (general location),43.2816731,-79.9144864,2018-05-13,08:20 AM,eBird - Traveling Count,180,0,10.,,2
S48394528,Canada Goose,Branta canadensis,297,6,CA-ON,Hamilton,L1308087,Hamilton--Tollgate Ponds,43.2831415,-79.7913837,2018-09-08,09:45 AM,eBird - Stationary Count,35,1,,,2
S51989332,Canada Goose,Branta canadensis,297,X,CA-ON,Hamilton,L1308087,Hamilton--Tollgate Ponds,43.2831415,-79.7913837,2019-01-19,02:30 PM,eBird - Stationary Count,15,0,,,2
S40195639,Canada Goose,Branta canadensis,297,8,CA-ON,Hamilton,L2074288,Hamilton--Van Wagner's Beach (Barangas On The Beach),43.2557054,-79.7612572,2017-10-29,01:45 PM,eBird - Traveling Count,30,0,2.,,2
